"nome_projeto";"cliente";"esfera_cliente";"numero_srm";"numero_ocs";"data_de_assinatura";"compartilhado";"link_projeto";"servico_contratado";"objeto";"valor_global_contrato_reais";"fim_vigencia";"consorcio";"cnpj_consorcio";"empresa";"cnpj_empresa";"lider_consorcio";"pp_consorcio"
"ACRE - SANEAMENTO";"ESTADO DO ACRE";"Estadual";"4400002672,0";"0264/2017";"2017-06-14";"Não";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002672.zip";"Serviço Único";"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA A ETSRUTURAÇÃO DE PROJETOS DE PARTICIPAÇÃO PRIVADA, VISANDO A UNIVERSALIZAÇÃO DOS SERVIÇOS DE FORNECIMENTO DE ÁGUA E ESGOTAMENTO SANITÁRIO, RELATIVAMENTE AO ESTADO DO ACRE E AO DEPARTAMENTO ESTADUAL DE PAVIMENTAÇÃO E SANEAMENTO - DEPASA.";"4049846,93";"2021-05-24";"CONSORCIO SANEAMENTO BRASIL";"27.820.864/0001-06";"AVALIAR AVALIACOES E ASSESSORIA LTDA";"65.156.739/0001-32";"Não";"0,128"
"ACRE - SANEAMENTO";"ESTADO DO ACRE";"Estadual";"4400002672,0";"0264/2017";"2017-06-14";"Não";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002672.zip";"Serviço Único";"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA A ETSRUTURAÇÃO DE PROJETOS DE PARTICIPAÇÃO PRIVADA, VISANDO A UNIVERSALIZAÇÃO DOS SERVIÇOS DE FORNECIMENTO DE ÁGUA E ESGOTAMENTO SANITÁRIO, RELATIVAMENTE AO ESTADO DO ACRE E AO DEPARTAMENTO ESTADUAL DE PAVIMENTAÇÃO E SANEAMENTO - DEPASA.";"4049846,93";"2021-05-24";"CONSORCIO SANEAMENTO BRASIL";"27.820.864/0001-06";"ESSE ENGENHARIA E CONSULTORIA LTDA";"41.656.372/0001-58";"Não";"0,42700000000000005"
"ACRE - SANEAMENTO";"ESTADO DO ACRE";"Estadual";"4400002672,0";"0264/2017";"2017-06-14";"Não";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002672.zip";"Serviço Único";"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA A ETSRUTURAÇÃO DE PROJETOS DE PARTICIPAÇÃO PRIVADA, VISANDO A UNIVERSALIZAÇÃO DOS SERVIÇOS DE FORNECIMENTO DE ÁGUA E ESGOTAMENTO SANITÁRIO, RELATIVAMENTE AO ESTADO DO ACRE E AO DEPARTAMENTO ESTADUAL DE PAVIMENTAÇÃO E SANEAMENTO - DEPASA.";"4049846,93";"2021-05-24";"CONSORCIO SANEAMENTO BRASIL";"27.820.864/0001-06";"FIALHO, CANABRAVA, ANDRADE, SALLES ADVOGADOS";"02.911.978/0001-30";"Sim";"0,445"
"ALAGOAS - SANEAMENTO - BLOCO A";"ESTADO DE ALAGOAS";"Estadual";"4400002633,0";"0228/2017";"2017-05-30";"Sim";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip";"Serviço Único";"CONSULTORIA DESESTATIZAÇÃO CASAL";"11069894,62";"2022-02-26";"CONSORCIO EY, FELSBERG, MUZZI E EMA";"27.720.709/0001-18";"E.M.A. ENGENHARIA DE MEIO AMBIENTE LTDA";"54.695.317/0001-19";"Não";"0,46049999999999996"
"ALAGOAS - SANEAMENTO - BLOCO A";"ESTADO DE ALAGOAS";"Estadual";"4400002633,0";"0228/2017";"2017-05-30";"Sim";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip";"Serviço Único";"CONSULTORIA DESESTATIZAÇÃO CASAL";"11069894,62";"2022-02-26";"CONSORCIO EY, FELSBERG, MUZZI E EMA";"27.720.709/0001-18";"FELSBERG E PEDRETTI ADVOGADOS E CONSULTORES LEGAIS";"09.522.100/0001-52";"Não";"0,2064"
"ALAGOAS - SANEAMENTO - BLOCO A";"ESTADO DE ALAGOAS";"Estadual";"4400002633,0";"0228/2017";"2017-05-30";"Sim";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip";"Serviço Único";"CONSULTORIA DESESTATIZAÇÃO CASAL";"11069894,62";"2022-02-26";"CONSORCIO EY, FELSBERG, MUZZI E EMA";"27.720.709/0001-18";"GONCALVES MUZZI PEIXOTO";"05.991.123/0001-55";"Não";"0,021099999999999997"
"ALAGOAS - SANEAMENTO - BLOCO A";"ESTADO DE ALAGOAS";"Estadual";"4400002633,0";"0228/2017";"2017-05-30";"Sim";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip";"Serviço Único";"CONSULTORIA DESESTATIZAÇÃO CASAL";"11069894,62";"2022-02-26";"CONSORCIO EY, FELSBERG, MUZZI E EMA";"27.720.709/0001-18";"ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA";"59.527.788/0001-31";"Sim";"0,312"
"ALAGOAS - SANEAMENTO - BLOCO B";"ESTADO DE ALAGOAS";"Estadual";"4400002633,0";"0228/2017";"2017-05-30";"Sim";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip";"Serviço Único";"CONSULTORIA DESESTATIZAÇÃO CASAL";"11069894,62";"2022-02-26";"CONSORCIO EY, FELSBERG, MUZZI E EMA";"27.720.709/0001-18";"E.M.A. ENGENHARIA DE MEIO AMBIENTE LTDA";"54.695.317/0001-19";"Não";"0,46049999999999996"
"ALAGOAS - SANEAMENTO - BLOCO B";"ESTADO DE ALAGOAS";"Estadual";"4400002633,0";"0228/2017";"2017-05-30";"Sim";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip";"Serviço Único";"CONSULTORIA DESESTATIZAÇÃO CASAL";"11069894,62";"2022-02-26";"CONSORCIO EY, FELSBERG, MUZZI E EMA";"27.720.709/0001-18";"FELSBERG E PEDRETTI ADVOGADOS E CONSULTORES LEGAIS";"09.522.100/0001-52";"Não";"0,2064"
"ALAGOAS - SANEAMENTO - BLOCO B";"ESTADO DE ALAGOAS";"Estadual";"4400002633,0";"0228/2017";"2017-05-30";"Sim";"https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip";"Serviço Único";"CONSULTORIA DESESTATIZAÇÃO CASAL";"11069894,62";"2022-02-26";"CONSORCIO EY, FELSBERG, MUZZI E EMA";"27.720.709/0001-18";"GONCALVES MUZZI PEIXOTO";"05.991.123/0001-55";"Não";"0,021099999999999997"
